WILAYA_CLEAN,COMMUNE_CLEAN,ZONE_RPA,capital_total,nb_polices,dommage_total,risque_moyen,proba_moyenne,CLASSE_COMMUNE
KHENCHELA,AIN TOUILA,Inconnu,1636880.0,1,81844.0,0.0,0.0,SOUCONCENTRATION ✅
KHENCHELA,BAGHAI,Inconnu,100440000.0,3,5022000.0,0.0,0.0,SOUCONCENTRATION ✅
KHENCHELA,BOUHMAMA,Inconnu,3658000.0,2,182900.0,0.0,0.0,SOUCONCENTRATION ✅
KHENCHELA,CHELIA,Inconnu,1240000.0,1,62000.0,0.0,0.0,SOUCONCENTRATION ✅
KHENCHELA,EL HAMMA,Inconnu,14462120.0,6,723106.0,0.0,0.0,SOUCONCENTRATION ✅
KHENCHELA,EL MAHMAL,Inconnu,9407570.0,4,470378.0,0.0,0.0,SOUCONCENTRATION ✅
KHENCHELA,ENSIGHA,Inconnu,6686700.0,3,334335.0,0.0,0.0,SOUCONCENTRATION ✅
KHENCHELA,KHENCHELA,Inconnu,344474190.0,118,17223710.0,0.0,0.0,SOUCONCENTRATION ✅
KHENCHELA,MTOUSSA,Inconnu,7433480.0,3,371674.0,0.0,0.0,SOUCONCENTRATION ✅
KHENCHELA,TAMZA,Inconnu,11887260.0,6,594363.0,0.0,0.0,SOUCONCENTRATION ✅
KHENCHELA,YABOUS,Inconnu,2635000.0,3,131750.0,0.0,0.0,SOUCONCENTRATION ✅
LAGHOUAT,AFLOU,Inconnu,6505660.0,4,325283.0,0.0,0.0,SOUCONCENTRATION ✅
LAGHOUAT,AIN MADHI,Inconnu,6200000.0,3,310000.0,0.0,0.0,SOUCONCENTRATION ✅
LAGHOUAT,BATNA,Inconnu,3305400.0,1,165270.0,0.0,0.0,SOUCONCENTRATION ✅
LAGHOUAT,EL ASSAFIA,Inconnu,2480000.0,1,124000.0,0.0,0.0,SOUCONCENTRATION ✅
LAGHOUAT,EL IDRISSIA,Inconnu,1687950.0,1,84398.0,0.0,0.0,SOUCONCENTRATION ✅
LAGHOUAT,HASSI DHELAA,Inconnu,8959000.0,5,447950.0,0.0,0.0,SOUCONCENTRATION ✅
LAGHOUAT,HASSI RMEL,Inconnu,17212440.0,11,860622.0,0.0,0.0,SOUCONCENTRATION ✅
LAGHOUAT,KHENEG,Inconnu,7440000.0,3,372000.0,0.0,0.0,SOUCONCENTRATION ✅
LAGHOUAT,KSAR EL HIRANE,Inconnu,27373000.0,13,1368650.0,0.0,0.0,SOUCONCENTRATION ✅
LAGHOUAT,LAGHOUAT,Inconnu,462780751.0,216,23139038.0,0.0,0.0,SOUCONCENTRATION ✅
LAGHOUAT,SIDI MAKHLOUF,Inconnu,19046400.0,8,952320.0,0.0,0.0,SOUCONCENTRATION ✅
LAGHOUAT,TADJEMOUT,Inconnu,7360330.0,4,368016.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,AIN EL HADJEL,Inconnu,196094400.0,49,9804720.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,AIN KHADRA,Inconnu,14255000.0,10,712750.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,BELAIBA,Inconnu,2800000.0,2,140000.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,BEN SROUR,Inconnu,1960000.0,1,98000.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,BENI ILMENE,Inconnu,56939000.0,12,2846950.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,BERHOUM,Inconnu,23000000.0,16,1150000.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,BOUROUBA,Inconnu,1692000.0,1,84600.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,BOUSAADA,Inconnu,5040000.0,1,252000.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,BOUTI SAYEH,Inconnu,3000000.0,3,150000.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,CASBAH,Inconnu,6439000.0,1,321950.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,DEHAHNA,Inconnu,2000000.0,1,100000.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,HAMMAM BOUGHRARA,Inconnu,1000000.0,1,50000.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,HAMMAM DHALAA,Inconnu,307797700.0,69,15389885.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,INCONNU,Inconnu,2397850.0,1,119892.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,KHETTOUTI SED EL DJIR,Inconnu,2688000.0,2,134400.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,MAADID,Inconnu,1670000.0,2,83500.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,MAGRA,Inconnu,11007600.0,8,550380.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,MCIF,Inconnu,12400000.0,4,620000.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,METARFA,Inconnu,1000000.0,1,50000.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,MSILA,Inconnu,603990140.0,254,30199507.0,0.0,0.0,SOUCONCENTRATION ✅
M SILA,OUENOUGHA,Inconnu,20100000.0,4,1005000.0,0.0,0.0,SOUCONCENTRATION ✅
